,Date,Likes,Comments,Text
#8097,2021-12-23 12:54:50,48,9,"
.םישנל תכשמנ ינאש יתעדי ימצעב ינאש ינפל דוע .יילא תכשמנ איהש תודוס ידוסב יל הרמא איה אנפלואב םינש המכ ינפל
.יתלבלבתהו .יתלהבנו
.ךכ לכ דיבכמו םינפב קזח בשויש דוסה תא ררוואל יהשלכ ךרד וז לבא ןוראב קומע ןיידע ינאשכ םויה הז תא אורקל בוצע תצק ..הדובאה הנשיה ינאל תפרוטמ הצצה יתאצמ םיפדה ןיבו ןוכיתהמ תרבחמב יתלקתנ םויה

:ןםכינפל עטקה

תספרמ ךותב הרוגס
תשפחמ
קומע קורי אשד תסיפ
קותשל הליגר

'תבהוא' איה
הכרה ןטבב ץח ,הרוי איה
הבהא
ארונ אל הז
הרזח ךרד רבכ ןיא

חרבנ יאוב
טוח לע דוקרנ
למשח
תולג וזיא אצמנ
הב םושנל
תומל ,לופיל ,תויחל
תולג
תודידב איהש
םוקמ הל ןיא יכ
תודליב ,תיבב

הרוצ הזל ןיא
תומד אל ,בא אל

תחא הטימ לע בכשנ יאוב
קומע קורי ,דחא םולחנ
קוחצהו יכבהו ,דחפה וילא םילפונשכ
שא ביבס םידקור םירפרפ םה
שאה תא וז
קורי ינא

תשחול יילא שאהו
תובהלב 'תבהוא איה'
תורעש'ת טאל יל תפטלמ תפרושו
דוקרנ יאוב
םוקמ שי ןאכ תולגב ךשוחב תוחפל
תוהמכ תויהל
תומלוה ךביל תוריהד הבוהא תעמוש ינא
רתסב יתוא יבהאת
תוחפל וא
תומולחב"
#8096,2021-12-19 14:06:58,16,2,"
רדנייב
דגנ דעב
םינוק הפיא
ריחמ
םיבושח םיטרפ

!הרזע השקבב

️☺ תודומח םה ,תונפל ססהל אל .היינק ךירדמו תוסנתה ,יללכ ןפואב םירדנייב לע םג תוריבסמ .תיסנרטה תשקל ןוגראה ,םירבעמ לש םירדנייב לע רדהנ ךירדמ שי :תינימדאה לכימ"
#8095,2021-12-15 20:42:04,23,14,"
..ןכ רבעב ילוא לבא *עגרכ* םירבגל תכשמנ ינאש תבשוח אל ינאו ,םישנל תכשמנ ינא
(תצק םידשוח רבכ םה) דיחפמ הז ילש החפשמה תא םגש השיגרמ ינאו יתוא דיחפמ שממ הז ,תיבסל תויהל הצור אל ינא
יתדה םלועב םוקמ יל ןיאש השיגרמ ינא לבא תודהיב ךישמהלו השרדמל םדקתהל הצור יכה לבא ןוכיתב דוע ינא
?תושעל רשפא המ"
#8094,2021-12-15 12:21:53,108,14,"
,ןוראהמ האיציה תא ולבק אבאו אמאש דע
.תורירב םהל יתראשה אל ינא ,ונלש רשקה לע ורבעש תוטושפ אל םינש המכ םהל חקל
.תויחאהו םיחאה םעו םתיא רשקה לע יתמחלנ

. תושירד שי אמאל וישכעו
.יתרוסמ וא יתד ,ךיתח
.ידוהי היהיש רקיעה
.יוג אל ןפואב םושבו

?ןוכנ הכלמ הזיא
.הפולא איה ןיא
,ינממ םידכנ הל ויהי אלש התכבש ירחא
.תפתושמ תורוה וא תואקדנופל ךוסחל יתוא תפחוד איה םויה
.יוניש תכיתח
,קאפיכה לע אבא םג
"" .יתוא עגשת אלש ידכ תרמוא אמאש המו ךל בוטש המ השעת ,לודג דלי התא""
,תונב יל עיצמ ןיידעו
חחחח טרחתא ינאש הרקמל

,תענכושמ דוע אמא
,יילע תללפתמו
יתד רוחב ריכא ינאש
,תדה םלועל יתוא ריזחיש
יתרבעש תוידגרטה ירחא
.וכותב

, רוציקב
,ילרביל,ץראהו םדא בהוא יתחפשמ,טושפ ןתח םיאצומ הפיא
(-; תוכורא תותורבחל םג תונלבס ול שיש ,'הב ןימאמ

,תברועמ החפשמ ,חראמ תיב .יתד יתרוסמ תיב םיקהל ילש םולח
.םדא תבהאו תודהיו תוילארשי לש םיכרע םע

,םיאתמ רשק אוצמל תונויסנ לש םינש הברה ירחא ילוא עדוי ימ
.תואמצעו ,לופיטו , ימצע לע הדובע לש
.דימתמ בורק תויגוזה םולח

לתוכב קתפ יליבשב ומישת
.םיליהת קרפ הזיאב ונגרפ וא

תואלחנב תונייעמ תסנכ תיבב תבש תלבק םע טיידב ליחתנ םומיסקמ
🥰 .תבש ירישו םינוגינ ,בוט לכוא םע שודיקו"
#8093,2021-12-15 08:46:56,21,4,"
הרידה תא הבזע איהו ונדרפנ זא
וישכע הלש דבלה תא הכירצ איהו הל השק הזש הטילחה איה
בלב קנע רוח םע יתראשנ ינאו
?הרצונש הארונה תודידבה םע םידדומתמ ךיא ?באכי אלש ידכ םישוע המ ?םימדקתמ ךיא ןיבהל הסנמ
תורגבתהב בלש דוע םתס איה םתניחבמ ,רוזעל םיחילצמ אלו התייה איה המ םיניבמ תמאב אל םירוהה"
#8092,2021-12-12 15:53:25,85,23,"
!ארח שיגרמ ינא
.ילש אתבס לע יתקעצ לומתא יכ

.לבקל ישוקה תא ,ליכהל ישוקה תא ,החפשמה לש תובכרומה תא ליכמ ינא םינש המכ רבכ
.לבקמו בהוא ליכמ םלועב ימצע תא יתפקה ,םייחו תיב יל יתינב ינא ןמזה םע
.ליכמו קתוש ןיידע ךא .יטנוולר אלו ינורקע ,הומת רבדכ ינפב תיארנ החפשמה לש תובכרומה טאל טאלו
.םישנא םידנמ הככ ,םרח שממ שממ הז ,בכרומ אל הז ,ישוק אל הז - יתרמא רבכ המש ,יתסעכ המש ,המש היהנ יגוז ןבו ינאש ןוויכמ ,ירוה תיבל גחל העיגמ הניא איהש הרמא יתבס ,ןורחאה תוכוסב
.רובעל ןמזל ןתונ .רבדמ אלו סעוכ אל ,התיא רבדמ אל ינא זא

.ייפלכ התעד המ יל הנשמ אלו התיא יבילו ,הבוהא תודלי תרבח ,תנתחתמ ילש הדוד תב ,עובשה

.העגה רושיא תא יתלטיב זא ,דבל עיגהל אנו תיגוז הניא הנמזההש ,החפשמה לכמ העדוה יתלביק ןבומכ םוי רחאל .תיגוז העגה יתרשיא זא .יל הנותנ ,עוריאל עיגי יגוז ןב םא הטלחההש הנממ םשורה תא יתלביקו ,הנבה יא התיה

.עיגמ אל טושפ לבא ,יתדוד תב לש התיב תיינבב חמשו בהוא ,תינלופב אלו סעכב אל

.יתבס םע לומתא יל התייהש החישה תארקל עקרה תא רפסמ ינאש הביסה ,רדסב לכהו ,םלש ינא הז לכ םע
.הנותחל דבל ,עיגאש תשקבמו ילא הנופ םואתפ איה ,התיא רבדמ אל ינאש םיישדח טעמכ רחאל ,לומתא הנותחל עיגהל ינממ השקיב איה לומתא

.הנמלאו תואירבה וקב אל ,םינומש תב השיא
.ינממ התוא וטיסהש םתוא חקיי םשהש החפשמ ישנאמ הארנכ ,רדרדתה קר בצמה תע ותואמ ךא .הבהאו הקביח איהש ךיאו ינאש ימ לע יתקרפתה טושפו התיבה הילא יתאבש תאזה םעפה תא רכוז דוע ינא ,ייח לכ ךשמב בהואו קומע ארונ היה ילש אתבסל רוביחה

.יתצצופתה המש ,דבל אובאש תשקבמ ,בושו יודינהו םרחה לכ ירחא יילא תרשקתמ אתבסשכ באכ לש עגר ותואב ,הזה עגרב זא
.ילש באכה לכ תא הל יתרפיס
.תושיגר םוש אלל םעפ רחא םעפ םיבילעמ טפשמ ותואבו הל השק לבא תבהואש המצעל תרקשמו ,ונתיא רשק תקתנמ החפשמה לכשו ,יתוא המירחמ איהש יתעגפנש הז לע

.םייחב יתוא יארת אל תא ,רתוי שגפינ אל ונחנא הזה בצקבש הל יתרמא

.תורקל רבד הזכל ןתונ היה אל םלועמ ,הייח תבהא היהש ,אבסש הל יתרמא

.הילע יתקעצ ,הנממ יתעגפנ ,ילש אתבס לע יתסעכ ,יתסעכו
.ארח שיגרמ ינא"
#8091,2021-12-08 10:50:30,92,22,"
❤❤תיקנע הדות .םילשורי רוזיאמ ינא .יטרפב םכילא הנפאו 🙈 השובה לע רבגתא ינאו הפ וביגת םא חמשא ינא זא הלאכו םיצייט ,םייסנכמ ,תוצלוח ,תויזח ,תיאצח ,תולמש :לכה ,תושבול אל רבכ ןתאש םידגב ןכל שי םא ?הפ שקבל רדסב הז םא יתבשח זא .הלאה םידגבה תא תונקלו תויונחל סנכהל תשייבתמ ינא יכ רקיעב ילש רדגמל םימאותש םידגבה תא יל תונקל הלוכי אל ןיידע ינא .ירעצל ןוראב ןיידע ינאו תיסנרט ינא שויה

(טנרטניאב קודבלו הדידמ טרס םע דודמל רשפא) .טסופל הז תא ףיסואו ףדל העדוהב ךלש תודימה ךרעב המ ונל יבתכת ️☺ייה :תינימדאה לכימ
️❤ םינגרפמו םיריווק םירכומ אלמ ,ךל אבש המ דודמלו אתב אבחתהל זאו םירבד אלמ תחקל םשל סנכיהל רשפא יכ ןואיצמה לע הצילממ שממ ינא םג
ונלש הרירקה זור'גב םג ,םעפ ידמ ולאכ שי .ירודו יטסילייטסו ירדגמ בוברע תגיגח ןה היינש די תוריכמו םידגב תופלחה תוביסמ הזמ ץוח"
#8090,2021-12-08 01:24:03,97,5,"

.'תינוטלפא' קר יתוא בהוא אוהש עדוי ינאו יטנמור עטקב םג ותוא בהוא ינאש עדוי אוה .ינשל דחא םיגאוד אוה םגו ינא םג .םיאומוה ונינשו ,חצר תילדרח הבישי התואב םידמול ונינש ,דואמ םיבוט םירבח ונינש
.בצמ לכב יתיא אוה .תישפנ בוט ךכ לכ הז ילש םיישקב יתיא אצמנ תמאבו ןורחאה קיספה דע יתוא ןיבמש רבח יל שיש הז
.האלה ונממ יתלביקש המ תא ריבעהל הסנא ינא ןאכ ילוא זא ,הדות ול רמוא ינאשכ םייניע לגלגמ דימת טעמכ אוה לבא ,הברה ךכ לכ ול בייח ינא
.הזכ רבח היה וייחב ישוק רבועש םדא ללכב וא ןוראב יצח וא ןוראב אצמנש ב""טהל לכלש יאוולה .ימצעמ התוא ןיבהל יל ןתנ טושפ אוה ,הנוכנה ךרדה המ לע יתיא חכוותה אל םלועמ אוה .ללכב יתוא ןד אלש דיחיה אוה ילש רבחהו םתוא טפושש םוקמב םיאצמנש םישנא קר םיניבמ הז תא .ותוא ןודל רשפא יאש עדת ומוקמל עיגתשכ יכ 'ומוקמל עיגתש דע םדא ןודית לא' בותכ
😃וביל תמושתל הז תא חקי והשימש הווקמ ינא .הזכ תויהל ונממ דומלל הסנמ ינא .ולאכ םירבח ויהת"
#8089,2021-12-03 15:12:43,37,12,"
!חמש הכונח ,ייקוא
.תינימה תוהזה תובקעב תדה תא השטנ אלו הילא תאבוחמו הנימאמ ןיידעו ,תיתדה תכרעמהמ האבו הריכמש יממ תולאש לואשלו רשק רוציל חמשא .הנוכנה הריחבה תא אוצמלו ,ילש ךרדה ךשמה יבגל טילחהלו רוחבל יל השקו ,ילש תינימה היטנהמ דאמ תלבלובמו ...תידרח תצק וליפאו היתד ,22 תב ינא
!הדות"
#8088,2021-12-03 14:42:01,142,6,"
.אספוק הנק ילש רבחש ןמזב םלוכ לומ תוכבל יתלחתהש הנממ העיגמ ינאש הביבסב ךלוהש המל דגונמ ךכ לכ היהו יתוא שגיר ךכ לכ הז .תיבהמ וקרזנש םיריווקל םירוגמ ןממל ידכ תוינגפוס ורכמ ובש ןכוד דיל ונרבעו ,םירבח המכ םע רטנסב םויה יתייה
❤הדות .רזועו בושח ךכ לכ הז .ונב ךומתל וא הרוק והשמשכ תוחמל ,םכלש תיבה תא חותפל הז םא ןיב .ונליבשב םישוע םתאש המ לכל ,תיקנע הדות ,הדות דיגהל יל ריכזמ הז זא"
#8087,2021-12-03 11:11:02,53,4,"
,תו.םיבוהא תו.םיאג
.הליהקה תא תקבחמו תכמות ךא , הצובקבש ירבחמ המכ ומכ ,הליהקהמ אלו היתד םנמוא ינא
.ינשה דצהמ הדוקנ תולעהל םעפה הצור ינא
.םירטסנימ יכה ,םייתד הבורש ריעב הרגש ,(היתד) הבוט הרבח םע יתשגפנ
.םינש 3 ינפל ןוראהמ האצי התיבש יל הרפס איה
.החפשמכ םירוהכ םהלש ישוקהו הלבקה לע התוא יתרקחת
.הלועמ רשק ונל שיו הדןבעב תושגפנ םוי םוי ונחנאשכ ,הזב יתוא ףתשל תלגוסמ התיה איהש דע םינש 3 גניקאפ ,ןוראהמ תאצל ןמז חקול החפשמל םג -ןיינעמ והשמ יתנבה
.הלש תבה תא לבקל טושפ אל היה הל ,ףסונב
.(הל היהיש ובשחש דיתעהו הפי תרשכומ הדלי) .םהלש םולחה ץופינ םע םילשהלו ןיבהל ידכ תרבוע החפשמה/םירוההש ךילהת הז
.הלש רשואה תא וא םהלש הבזכאה תא ולבק אל התוא ולבק תיבב התיה הדליה דוביעה תפוקתב םגו .דוביע ןמז חקולו (םימעפל) העתפהב אב הז םתניחבמ ,הבזכא תאז םתניחבמ ןכ
.תקבחמו המיענ ,הלק היהית האיציו דחפה אליממו ,ונלוכ תא הנבהבו הבהאב לבקל דמלנ ונלוכו יאוולה .דיגי ןכשה המ דחפה .ונלש הרבחל ןובשח תושעל רבכ סאלח ...ודיגי המ הז ירקיעה ישוקהש ןיבת ונלש הרבחהש םמצע םיאגלו תוחפשמלו םירוהל לק היהי המכ .תפתשמו ןוראהמ תאצוי איה םויה
...טקשב תויחל ונת"
#8086,2021-12-02 21:21:21,34,13,"
.םויה דע דרפיהל ובריס ונלש םייחה תורוקש אצי והשכיאו ,'ד התיכב יתייהשכ התוא יתרכה .דואמ הבורק .הבורק הדידי יל שי
.ותיא דדומתהל ךיא עדוי אל ינאו יל השקש והשמ שי .לבא .ריכמ ינאש בוט יכה םדאה ירמגל איה םינבומ הברהב ,רמולכ .בשוח ינא ,הבוט הרוחב איה
.ומשב דליל ארקאש יינפב ןנחתהו טעמכ םלועה לכש ירחא ,19 ןב יתייהשכ ןוראהמ יתאצי
.קחרתת איהש יתבשח תצקו ,הל יתרפיסשכ דער תצק לוקה תאז לכבו .תעדל יתמכסה ינאש ינפל הברה העדי איהש עדוי ינאו ,ייג אוהש םלוכל רורבש ולאה םישנאה גוס ינא
.יב תעגל הקיספמ אל איה ,רמול םיענ אל ,ץוחב ינאש זאמ יכ .היעבה ןאכ ילואו .אל איה לבא
.הלש תומישנה תא שיגרמ ינאו .ראווצה לש עקשב הלש שארה תא תנמוט איהש שיגרמ ינא ,יתוא תקבחמ איהשכ .תעגונ אל תעגונ .םייתפשל ידמ תובורק תוקישנ יל תנתונ איה .הצלוחל תחתמ םיידי יל הסינכמ איה .ימיטניא עגמ לע רבדמ ינא .הדובעב השק םוי ירחא תולברכתה םתס וא קוביח לש ,תירבח העיגנ לע רבדמ אל ינא
.ךובנ ךכ לכ שיגרמ טושפ ינא .םולכ דיגהל חילצמ אל ינא לבא ,ןיטולחל יליבד עמשיי ילוא הז
.הב עוגפל וא הרבחכ התוא דבאל דחפמ ינאו .שיגרהל יל תמרוג איה חונ אל המכ ריבסהל עדוי אל טושפ ינא יכ םירחא םירבח םע הז לע רבדל ימצע תא איבהל חילצמ אל וליפא ינא
.התוא שגופ ינאש םעפ לכב ץווכתמ ילש ףוגה ,ינש דצמ
?תושעל ךירצ ינא המ ?ללכב הז תא םילעמ ךיא ?ריבסהל םיליחתמ ךיא"
#8085,2021-12-02 18:55:19,33,3,"
.תילאוסקסיב
ילש הכושחה הביבסהו החפשמה לומ ןוראהמ האיצי םע דדומתהל חוכ יל ןיא
.ולש דספהה םע המלש אל ינאש םלש םלוע ספספל הז םירבג םע קר תאצל לבא"
#8084,2021-11-27 23:06:03,55,2,"
.יתלכי אל ירעצלו ,ישיש םויב םילשוריב םכתיא דומעל יתיצר .תי.טסינורא יצח ןאכ ייה
️❤םןכלוכל קוחרמ קוביחו - יליבשב םג םש םתדמעש םכל הדות זא"
